Kategoria;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Dochód rozporządzalny;794,67;808,22;843,24;860,2;935,12;977,1;1102,63;1251,07;1338,51;1396,47;1468,38;1497,43;1536,68;1581,05;1631,64;1739,48;1792,33;1918,94;2011,71;2173,63;2238,17;2486,74;2539,89;3312,86;3789,82
Wydatki;760,75;762,15;797,57;817,24;854,74;869,8;955,26;1093,81;1193;1208,08;1206,91;1221,52;1270,87;1288,31;1302,4;1310,93;1314,72;1368,49;1399,56;1471,61;1412,38;1490,09;1640,71;1862,4;2151,15
